"Postcode","Number","Name","Population","Firestations_in_postcode","Building_fires","Total_fires","Total_casualties","Persons_rescued","Persons_evacuated","Year_ending"
2000,3,"The Rocks",22758,2,28,70,3,1,811,2007
2000,1,"City of Sydney",22758,2,82,223,8,14,2637,2007
2009,38,"Pyrmont",11617,1,30,66,8,1,732,2007
2010,4,"Darlinghurst",25404,1,92,186,4,5,403,2007
2015,13,"Alexandria",8427,1,42,134,2,0,132,2007
2016,10,"Redfern",12033,1,76,168,6,2,101,2007
2019,35,"Botany",8900,1,20,71,0,0,75,2007
2020,26,"Mascot",10178,1,33,83,6,0,144,2007
2025,11,"Woollahra",7182,1,65,126,4,1,1809,2007
2026,76,"Bondi",30396,1,46,118,1,0,89,2007
2031,39,"Randwick",32321,1,60,134,11,2,59,2007
2035,70,"Maroubra",33234,1,35,120,8,6,102,2007
2036,56,"Matraville",26896,1,42,172,2,0,39,2007
2037,18,"Glebe",13842,1,45,102,9,4,172,2007
2040,22,"Leichhardt",20861,1,29,110,4,0,38,2007
2041,12,"Balmain",14753,1,21,49,5,0,402,2007
2042,5,"Newtown",17720,1,37,101,5,4,293,2007
2047,17,"Drummoyne",11378,1,27,71,2,0,35,2007
2064,61,"Lane Cove",8641,1,32,75,0,1,108,2007
2065,36,"Crows Nest",27175,1,39,93,3,0,179,2007
2068,40,"Willoughby",15870,1,42,105,6,1,49,2007
2073,37,"Gordon",15736,1,37,121,3,0,69,2007
2077,50,"Hornsby",34898,1,38,138,9,0,165,2007
2081,75,"Berowra",5166,1,12,68,9,2,54,2007
2087,51,"Forestville",12290,1,12,88,6,0,11,2007
2088,25,"Mosman",27452,1,27,56,9,0,98,2007
2089,53,"Neutral Bay",11082,1,18,49,3,0,22,2007
2095,24,"Manly",15074,1,35,107,0,0,106,2007
2099,69,"Dee Why",36685,1,41,153,7,1,36,2007
2101,68,"Narrabeen",17980,1,13,57,0,0,1,2007
2103,6,"Mona Vale",10164,1,18,75,3,4,27,2007
2107,60,"Avalon",14464,1,12,37,0,0,38,2007
2111,23,"Gladesville",13424,1,21,60,4,1,38,2007
2112,42,"Ryde",27771,1,42,134,25,1,702,2007
2116,65,"Rydalmere",6218,1,21,135,5,0,208,2007
2119,58,"Beecroft",10903,1,26,90,12,0,103,2007
2122,59,"Eastwood",28545,1,32,123,4,0,350,2007
2131,14,"Ashfield",22190,1,58,131,15,2,60,2007
2134,15,"Burwood",12468,1,71,178,12,3,384,2007
2135,16,"Concord",23097,1,38,114,3,1,112,2007
2138,66,"Rhodes",13519,1,0,6,1,0,0,2007
2141,30,"Lidcombe",25479,1,65,247,11,56,810,2007
2144,19,"Silverwater",33123,1,38,142,2,2,74,2007
2145,57,"Wentworthville",71312,1,54,231,11,2,878,2007
2147,43,"Seven Hills",35074,1,59,415,13,0,47,2007
2148,97,"Huntingwood",58671,1,28,223,6,1,195,2007
2150,27,"Parramatta",24811,1,84,282,13,10,578,2007
2152,67,"Northmead",10224,1,34,138,2,0,34,2007
2154,71,"Castle Hill",37914,1,42,163,7,1,91,2007
2155,94,"Kellyville",44028,1,25,109,1,0,40,2007
2160,72,"Merrylands",32845,1,42,195,7,6,86,2007
2161,55,"Guildford",28269,1,54,294,3,0,53,2007
2162,85,"Chester Hill",16989,1,70,312,8,0,167,2007
2164,41,"Smithfield",18365,1,28,284,4,0,249,2007
2165,73,"Fairfield",39513,1,47,219,2,1,98,2007
2166,49,"Cabramatta",49723,1,53,276,5,0,368,2007
2168,31,"Busby",41911,1,68,552,23,1,113,2007
2170,8,"Liverpool",95042,1,48,343,5,0,254,2007
2171,7,"Horningsea Park",24390,1,17,151,3,0,0,2007
2177,101,"Bonnyrigg Heights",15188,1,28,270,11,1,46,2007
2194,52,"Campsie",21218,1,48,156,8,1,26,2007
2195,64,"Lakemba",25208,1,76,267,19,3,164,2007
2200,62,"Bankstown",40611,1,71,339,21,1,113,2007
2204,28,"Marrickville",24611,1,60,179,9,0,142,2007
2210,34,"Riverwood",28012,1,25,136,5,0,8,2007
2212,47,"Revesby",14298,1,64,270,10,3,26,2007
2216,29,"Rockdale",26060,1,25,129,6,1,621,2007
2217,21,"Kogarah",23624,1,47,161,15,0,206,2007
2220,20,"Hurstville",28432,1,67,180,8,2,2062,2007
2223,48,"Mortdale",19805,1,13,77,3,1,12,2007
2228,45,"Miranda",17601,1,32,130,3,0,606,2007
2230,54,"Cronulla",26976,2,30,90,3,0,1255,2007
2230,80,"Bundeena",26976,2,1,9,0,0,0,2007
2232,46,"Sutherland",31260,1,30,98,0,0,1,2007
2233,33,"Engadine",29306,1,12,49,0,0,0,2007
2234,90,"Menai",30829,1,7,88,0,0,0,2007
2250,509,"Wyoming",65633,3,31,172,5,0,220,2007
2250,341,"Kariong",65633,3,14,83,3,0,24,2007
2250,304,"Gosford",65633,3,35,121,10,0,49,2007
2251,450,"Saratoga",31836,1,9,47,1,0,0,2007
2257,340,"Umina",27647,1,46,197,6,0,5,2007
2259,434,"Hamlyn Terrace",53994,2,4,24,1,0,0,2007
2259,505,"Wyong",53994,2,20,118,6,1,4,2007
2260,459,"Terrigal",21788,1,19,64,3,0,58,2007
2261,351,"Bateau Bay",51003,3,29,176,5,0,4,2007
2261,460,"The Entrance",51003,3,16,73,1,0,0,2007
2261,228,"Berkeley Vale",51003,3,15,80,5,0,0,2007
2262,245,"Budgewoi",20153,2,8,74,0,0,0,2007
2262,292,"Doyalson",20153,2,26,119,1,2,23,2007
2263,470,"Toukley",22379,1,22,130,4,0,1,2007
2264,383,"Morisset",13120,1,18,89,4,1,7,2007
2267,485,"Wangi Wangi",2668,1,1,16,0,0,0,2007
2280,222,"Belmont",26595,1,19,92,4,0,37,2007
2281,447,"Swansea",13417,1,7,69,0,0,0,2007
2283,464,"Toronto",23078,1,16,179,4,0,2,2007
2284,231,"Boolaroo",10465,2,6,60,1,0,0,2007
2284,458,"Teralba",10465,2,4,62,4,0,0,2007
2285,251,"Cardiff",27798,1,34,205,4,0,5,2007
2286,498,"West Wallsend",3449,1,6,91,0,0,0,2007
2287,377,"Minmi",33274,2,2,23,0,0,0,2007
2287,484,"Wallsend",33274,2,12,96,0,0,0,2007
2290,255,"Charlestown",32178,2,24,214,4,0,32,2007
2290,500,"Tingira Heights",32178,2,12,255,7,2,18,2007
2291,376,"Merewether",13399,1,5,37,0,0,0,2007
2294,252,"Carrington",1875,1,3,30,0,0,2,2007
2295,446,"Stockton",5823,1,4,28,0,0,0,2007
2298,486,"Waratah",9442,1,27,140,1,2,2,2007
2300,260,"Newcastle",10083,1,44,138,4,1,457,2007
2303,320,"Hamilton",9005,1,38,136,9,1,81,2007
2304,462,"Mayfield West",14969,1,15,84,2,0,50,2007
2305,404,"New Lambton",11941,1,8,39,0,0,0,2007
2315,402,"Nelson Bay",13380,1,20,72,1,1,35,2007
2320,374,"Maitland",29289,2,15,93,1,1,3,2007
2320,455,"Telarah",29289,2,15,85,2,0,4,2007
2321,382,"Morpeth",10926,1,5,35,2,1,1,2007
2322,454,"Tarro",16681,1,13,122,6,0,32,2007
2323,373,"East Maitland",24735,1,23,173,3,1,11,2007
2324,471,"Tea Gardens",22534,2,2,14,1,0,0,2007
2324,432,"Raymond Terrace",22534,2,29,195,2,0,28,2007
2325,418,"Paxton",26224,4,2,19,2,0,4,2007
2325,254,"Cessnock",26224,4,37,197,5,0,3,2007
2325,220,"Bellbird",26224,4,3,28,1,0,20,2007
2325,344,"Kearsley",26224,4,3,25,0,0,0,2007
2326,202,"Abermain",7171,2,5,30,0,0,0,2007
2326,497,"Weston",7171,2,1,61,0,0,0,2007
2327,349,"Kurri Kurri",7359,1,14,128,1,0,72,2007
2328,283,"Denman",2553,1,1,9,0,0,2,2007
2329,393,"Merriwa",2142,1,2,12,0,0,1,2007
2330,444,"Singleton",20458,1,6,65,1,0,0,2007
2333,392,"Muswellbrook",13240,1,6,92,1,0,1,2007
2335,237,"Branxton Greta",5430,1,8,26,2,0,0,2007
2336,208,"Aberdeen",2341,1,3,10,0,0,0,2007
2337,443,"Scone",7735,1,3,15,1,0,0,2007
2338,390,"Murrurundi",1536,1,0,4,0,0,0,2007
2340,452,"Tamworth",45700,2,54,151,5,0,341,2007
2340,508,"West Tamworth",45700,2,18,163,0,0,0,2007
2341,496,"Werris Creek",1727,1,3,7,0,0,0,2007
2343,429,"Quirindi",4526,1,3,15,0,0,0,2007
2346,375,"Manilla",2810,1,3,13,0,0,0,2007
2350,205,"Armidale",24474,1,22,158,0,0,28,2007
2354,481,"Walcha",3520,1,5,11,0,0,0,2007
2357,264,"Coonabarabran",4364,1,10,29,0,0,0,2007
2358,475,"Uralla",4043,1,4,18,0,0,0,2007
2360,331,"Inverell",14496,1,14,85,0,0,5,2007
2365,315,"Guyra",3410,1,1,7,0,0,0,2007
2370,302,"Glen Innes",7556,1,12,57,1,0,0,2007
2372,457,"Tenterfield",4971,1,7,42,0,0,0,2007
2380,314,"Gunnedah",10138,1,11,62,1,0,21,2007
2382,229,"Boggabri",1191,1,6,12,0,0,0,2007
2388,506,"Wee Waa",3090,1,4,13,0,0,0,2007
2390,399,"Narrabri",8243,1,13,60,12,1,0,2007
2400,381,"Moree",10215,1,38,340,2,0,42,2007
2402,487,"Warialda",1912,1,2,7,0,0,0,2007
2404,225,"Bingara",1785,1,1,14,1,1,0,2007
2420,282,"Dungog",4066,1,6,13,1,1,1,2007
2422,303,"Gloucester",5217,1,1,9,0,0,0,2007
2428,295,"Forster",22699,1,12,76,2,0,2,2007
2429,502,"Wingham",9250,1,6,35,0,0,2,2007
2430,453,"Taree",32568,1,15,180,0,0,0,2007
2431,449,"South West Rocks",4953,1,2,21,0,0,0,2007
2440,345,"Kempsey",21373,1,21,310,4,0,0,2007
2443,358,"Laurieton",8849,1,0,18,0,0,0,2007
2444,424,"Port Macquarie",42618,1,34,163,5,0,52,2007
2446,492,"Wauchope",12527,1,0,23,0,0,0,2007
2447,371,"Macksville",6811,1,1,28,0,0,0,2007
2448,397,"Nambucca Heads",8702,1,6,54,1,0,0,2007
2449,235,"Bowraville",2324,1,12,44,0,0,0,2007
2450,257,"Coffs Harbour",38299,1,37,274,2,0,512,2007
2452,441,"Sawtell",15011,1,7,103,1,0,2,2007
2453,279,"Dorrigo",2706,1,1,11,1,0,0,2007
2454,221,"Bellingen",7350,1,4,13,0,0,0,2007
2455,476,"Urunga",3022,1,3,14,0,0,0,2007
2456,507,"Woolgoolga",13580,1,8,58,0,0,0,2007
2460,307,"South Grafton",28593,2,6,87,0,0,0,2007
2460,306,"Grafton",28593,2,12,60,3,0,0,2007
2463,372,"Maclean",7146,1,5,13,1,0,8,2007
2464,510,"Yamba",6682,1,8,37,0,0,0,2007
2470,253,"Casino",14549,1,19,103,5,1,90,2007
2471,267,"Coraki",2579,1,2,47,0,0,0,2007
2473,288,"Evans Head",2968,1,1,20,0,0,0,2007
2474,350,"Kyogle",6386,1,4,13,0,0,0,2007
2477,204,"Alstonville",11247,1,1,16,1,0,0,2007
2478,211,"Ballina",26770,1,12,66,2,0,6,2007
2479,213,"Bangalow",4540,1,0,7,2,0,0,2007
2480,316,"Goonellabah",44394,2,13,69,0,0,0,2007
2480,362,"Lismore",44394,2,17,94,0,0,4,2007
2481,243,"Byron Bay",10701,1,8,40,0,0,0,2007
2482,388,"Mullumbimby",5750,1,8,22,0,0,30,2007
2483,240,"Brunswick Heads",10032,1,7,44,1,0,2,2007
2484,391,"Murwillumbah",18050,1,8,130,2,0,4,2007
2485,468,"Tweed Heads",13349,1,23,130,11,0,199,2007
2486,514,"Tweed River",30593,1,0,9,0,0,0,2007
2487,347,"Kingscliff",11193,1,8,54,1,0,0,2007
2500,503,"Wollongong",37081,1,79,275,4,2,489,2007
2502,422,"Warrawong",11707,1,31,277,4,1,15,2007
2508,325,"Helensburg",8652,1,2,26,0,0,0,2007
2515,461,"Thirroul",10385,3,5,29,0,0,0,2007
2515,442,"Scarborough",10385,3,0,14,0,0,0,2007
2515,258,"Coledale",10385,3,2,15,0,0,0,2007
2516,241,"Bulli",5671,1,10,97,1,0,0,2007
2518,269,"Corrimal",18613,1,4,98,1,1,0,2007
2519,210,"Balgownie",16241,1,11,69,1,0,11,2007
2526,474,"Unanderra",15831,1,13,172,1,0,6,2007
2527,207,"Albion Park Rail",20614,1,6,130,0,0,0,2007
2529,488,"Shellharbour",22309,1,30,203,5,1,7,2007
2530,277,"Dapto",29720,1,22,162,2,1,2,2007
2533,346,"Kiama",14938,1,8,73,2,2,2,2007
2535,224,"Berry",6997,1,2,12,0,0,0,2007
2536,217,"Batemans Bay",17466,1,6,44,1,0,3,2007
2537,384,"Moruya",10908,1,5,23,1,0,3,2007
2539,477,"Ulladulla",16525,1,11,102,0,0,0,2007
2541,405,"Nowra",24143,1,28,251,10,0,28,2007
2546,398,"Narooma",8791,1,2,11,0,0,0,2007
2548,395,"Merimbula",6875,1,3,13,0,0,0,2007
2550,219,"Bega",15692,1,6,35,0,0,0,2007
2551,286,"Eden",3450,1,9,39,0,0,0,2007
2560,87,"Rosemeadow",72235,2,36,361,8,2,0,2007
2560,88,"Campbelltown",72235,2,58,593,17,1,225,2007
2564,84,"Macquarie Fields",13375,1,43,327,7,0,8,2007
2565,79,"Ingleburn",16589,1,21,250,2,2,58,2007
2566,92,"St Andrews",24044,1,67,519,7,0,179,2007
2567,93,"Narellen",33965,1,16,146,2,0,1007,2007
2570,248,"Camden",28344,1,7,47,0,0,50,2007
2571,421,"Picton",10142,1,14,50,5,0,7,2007
2575,378,"Mittagong",14031,1,3,48,2,0,0,2007
2576,234,"Bowral",12709,1,10,40,1,0,3,2007
2577,385,"Moss Vale",14651,1,17,68,2,0,26,2007
2578,242,"Bundanoon",2417,1,2,4,0,0,0,2007
2580,305,"Goulburn",27112,1,23,104,2,1,8,2007
2582,511,"Yass",11512,1,12,38,0,0,37,2007
2583,271,"Crookwell",3999,1,1,5,0,0,0,2007
2586,232,"Boorowa",2724,1,5,11,0,0,5,2007
2587,389,"Harden",2829,1,6,17,2,0,0,2007
2590,266,"Cootamundra",7109,1,9,43,4,0,1555,2007
2594,513,"Young",11455,1,11,64,0,0,374,2007
2622,236,"Braidwood",3260,1,4,8,0,0,0,2007
2625,451,"Thredbo",470,1,2,5,0,0,0,2007
2627,338,"Jindabyne",4398,1,8,24,0,0,0,2007
2630,263,"Cooma",8330,1,11,51,3,0,30,2007
2632,230,"Bombala",1662,1,3,5,0,0,0,2007
2640,203,"Albury Central",33707,2,36,216,10,1,205,2007
2640,209,"Albury Civic",33707,2,7,85,0,0,0,2007
2641,206,"Albury North",14313,1,6,49,0,0,0,2007
2644,324,"Holbrook",2593,1,2,15,0,0,0,2007
2646,268,"Corowa",6791,1,7,58,0,0,665,2007
2647,394,"Mulwala",1903,1,1,5,0,0,0,2007
2648,494,"Wentworth",2501,1,6,14,0,0,1,2007
2650,480,"Wagga Wagga",53974,1,2,101,0,0,0,2007
2653,466,"Tumbarumba",2334,1,6,13,0,0,0,2007
2656,365,"Lockhart",1297,1,0,4,0,0,0,2007
2658,322,"Henty",1442,1,1,3,0,0,0,2007
2660,272,"Culcairn",1663,1,3,10,4,1,3,2007
2663,337,"Junee",4578,1,10,17,0,1,0,2007
2666,456,"Temora",5059,1,8,15,5,3,16,2007
2671,499,"West Wyalong",3891,1,10,51,3,0,0,2007
2672,355,"Lake Cargelligo",1475,1,6,12,0,0,0,2007
2675,323,"Hillston",1431,1,2,13,0,0,0,2007
2680,311,"Griffith",22687,1,23,160,2,0,7,2007
2681,512,"Yenda",1638,1,1,5,0,0,0,2007
2700,400,"Narrandera",4872,1,7,28,0,0,0,2007
2701,262,"Coolamon",2433,1,3,8,0,0,0,2007
2705,360,"Leeton",10013,1,15,72,1,1,1,2007
2710,278,"Deniliquin",9834,1,8,37,2,2,6,2007
2711,321,"Hay",3293,1,4,11,1,0,0,2007
2712,223,"Berrigan",1409,1,3,5,0,0,0,2007
2713,293,"Finley",3080,1,0,5,1,0,0,2007
2714,463,"Tocumwal",2384,1,3,25,2,0,0,2007
2715,212,"Balranald",1624,1,2,9,0,0,0,2007
2716,336,"Jerilderie",1070,1,3,11,0,0,0,2007
2720,467,"Tumut",7822,1,13,45,1,0,29,2007
2722,313,"Gundagai",2978,1,3,21,1,1,0,2007
2730,218,"Batlow",1423,1,2,5,0,0,0,2007
2731,379,"Moama",5561,1,6,22,1,0,0,2007
2732,214,"Barham",1858,1,3,7,0,0,2,2007
2745,102,"Regentville",26233,1,27,188,1,0,386,2007
2749,98,"Cranebrook",15771,1,20,190,0,0,161,2007
2750,86,"Penrith",42587,1,52,380,8,0,385,2007
2752,489,"Warragamba",4675,1,3,24,0,0,0,2007
2753,82,"Richmond",17082,1,29,130,2,1,9,2007
2756,81,"Windsor",32296,1,9,104,2,0,0,2007
2760,78,"Dunheved",27032,2,58,647,13,6,69,2007
2760,77,"St Marys",27032,2,51,418,14,1,66,2007
2762,96,"Schofields",3812,1,29,136,4,3,4,2007
2765,83,"Riverstone",14841,1,11,79,3,0,0,2007
2767,63,"Blacktown",19505,1,63,355,9,0,141,2007
2770,32,"Mount Druitt",60345,1,98,742,12,1,962,2007
2773,301,"Glenbrook",5856,1,12,65,4,2,0,2007
2777,445,"Springwood",17782,1,10,74,0,0,0,2007
